phase,run,run_type,replay_mode,root_file,t_entries,tsh_last_evnumber,tsh_difference,tsh_flag,tsp_last_evnumber,tsp_difference,tsp_flag,overall_flag,status
phase2,27662,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27662_-1.root,1981709,1981710,1,0,,,,0,OK
phase2,27663,HMSDIS,hms,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/hms_coin_replay_production_27663_-1.root,302171,302172,1,0,,,,0,OK
phase2,27664,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27664_-1.root,168363,168364,1,0,168364,1,0,0,OK
phase2,27665,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27665_-1.root,167531,167532,1,0,167532,1,0,0,OK
phase2,27666,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27666_-1.root,181167,181168,1,0,181168,1,0,0,OK
phase2,27667,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27667_-1.root,191460,191461,1,0,191461,1,0,0,OK
phase2,27668,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27668_-1.root,180559,180560,1,0,180560,1,0,0,OK
phase2,27669,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27669_-1.root,78613,78614,1,0,78614,1,0,0,OK
phase2,27670,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27670_-1.root,300483,300484,1,0,300484,1,0,0,OK
phase2,27671,PI+SIDIS,coin,/net/cdaq/cdaql3data/cdaq/hallc-online-rsidis2025/ROOTfiles/coin_replay_production_27671_-1.root,178161,178162,1,0,178162,1,0,0,OK
